"Marka","Model","Generacja","Wersja","TypSilnika","MocSilnika","RodzajNapedu","Cena2023","Cena2022","Cena2021","Silnik","PojemnoscSilnika","SrednieSpalanieZuzycie","RodzajSkrzyni","RokRozpoczeciaProdukcji","RokZakonczeniaProdukcji"
"Audi","A1","III",NA,"benzynowy",116,"na przednią oś",145000,72400,83350,"1.0 30 TFSI 116KM 85kW od 2024",1,4.9,"manualna","2024","2025"
"Audi","A1","III",NA,"benzynowy",150,"na przednią oś",145000,72400,83350,"1.5 35 TFSI 150KM 110kW od 2024",1.5,5.1,"automatyczna","2024","2025"
"Audi","A1","III",NA,"benzynowy",207,"na przednią oś",145000,72400,83350,"2.0 40 TFSI 207KM 152kW od 2024",2,5.6,"automatyczna","2024","2025"
"Audi","A1","II",NA,"benzynowy",95,"na przednią oś",145000,72400,83350,"1.0 25 TFSI 95KM 70kW 2019-2024",1,4.7,"manualna","2019","2024"
"Audi","A1","II",NA,"benzynowy",116,"na przednią oś",145000,72400,83350,"1.0 30 TFSI 116KM 85kW 2018-2020",1,4.9,"manualna","2018","2020"
"Audi","A1","II",NA,"benzynowy",110,"na przednią oś",145000,72400,83350,"1.0 TFSI 110KM 81kW 2020-2024",1,4.8,"manualna","2020","2024"
"Audi","A1","II",NA,"benzynowy",150,"na przednią oś",145000,72400,83350,"1.5 35 TFSI 150KM 110kW 2018-2024",1.5,5.3,"manualna","2018","2024"
"Audi","A1","II",NA,"benzynowy",200,"na przednią oś",145000,72400,83350,"2.0 40 TFSI 200KM 147kW 2019-2021",2,6,"automatyczna","2019","2021"
"Audi","A1","II",NA,"benzynowy",207,"na przednią oś",145000,72400,83350,"2.0 40 TFSI 207KM 152kW 2021-2024",2,5.6,"automatyczna","2021","2024"
"Audi","A1","I","Hatchback 3d Facelifting","benzynowy",125,"na przednią oś",145000,72400,83350,"1.4 TFSI 125KM 92kW 2015",1.4,4.9,"manualna","2015","2015"
"Audi","A1","I","Hatchback 3d Facelifting","benzynowy",150,"na przednią oś",145000,72400,83350,"1.4 TFSI CoD 150KM 110kW 2015",1.4,4.7,"manualna","2015","2015"
"Audi","A1","I","Hatchback 3d Facelifting","benzynowy",192,"na przednią oś",145000,72400,83350,"1.8 TFSI 192KM 141kW 2015",1.8,5.6,"automatyczna","2015","2015"
"Audi","A1","I","Hatchback 3d Facelifting","diesel",90,"na przednią oś",145000,72400,83350,"1.4 TDI ultra 90KM 66kW 2015",1.4,3.4,"manualna","2015","2015"
"Audi","A1","I","Hatchback 3d Facelifting","diesel",116,"na przednią oś",145000,72400,83350,"1.6 TDI 116KM 85kW 2015",1.6,3.5,"manualna","2015","2015"
"Audi","A1","I","Sportback 5d Facelifting","benzynowy",95,"na przednią oś",145000,72400,83350,"1.0 TFSI ultra 95KM 70kW 2015-2018",1,4.2,"manualna","2015","2018"
