"Marka","Model","Generacja","Wersja","TypSilnika","MocSilnika","RodzajNapedu","Cena2023","Cena2022","Cena2021","Silnik","PojemnoscSilnika","SrednieSpalanieZuzycie","RodzajSkrzyni","RokRozpoczeciaProdukcji","RokZakonczeniaProdukcji"
"Ford","Bronco","VI",NA,"benzynowy",335,"4x4",NA,NA,NA,"2.7 V6 335KM 246kW od 2023",2.7,14.2,"automatyczna","2023","2025"
"Ford","Bronco","V",NA,"benzynowy",198,"4x4",NA,NA,NA,"5.0 V8 198KM 146kW 1992-1996",5,18.5,"manualna","1992","1996"
"Ford","Bronco","V",NA,"benzynowy",208,"4x4",NA,NA,NA,"5.8 V8 208KM 153kW 1992-1996",5.8,20.7,"automatyczna","1992","1996"
"Ford","Bronco","IV",NA,"benzynowy",140,NA,NA,NA,NA,"2.9 140KM 103kW 1987-1991",2.9,NA,NA,"1987","1991"
"Ford","Bronco","IV",NA,"benzynowy",188,"4x4",NA,NA,NA,"5.0 V8 188KM 138kW 1987-1991",5,18.2,"manualna","1987","1991"
"Ford","Bronco","III",NA,"benzynowy",170,NA,NA,NA,NA,"4.9 170KM 125kW 1980-1986",4.9,NA,NA,"1980","1986"
"Ford","Bronco","III",NA,"benzynowy",220,NA,NA,NA,NA,"4.9 V8 220KM 162kW 1980-1986",4.9,NA,NA,"1980","1986"
"Ford","Bronco","III",NA,"benzynowy",246,NA,NA,NA,NA,"5.8 246KM 181kW 1980-1986",5.8,NA,NA,"1980","1986"
"Ford","Bronco","II",NA,"benzynowy",225,NA,NA,NA,NA,"5.8 225KM 165kW 1978-1979",5.8,NA,NA,"1978","1979"
"Ford","Bronco","I",NA,"benzynowy",105,"4x4",NA,NA,NA,"2.8 105KM 77kW 1966-1972",2.8,17,"manualna","1966","1972"
"Ford","Bronco","I",NA,"benzynowy",120,NA,NA,NA,NA,"3.3 120KM 88kW 1973-1974",3.3,NA,NA,"1973","1974"
"Ford","Bronco","I",NA,"benzynowy",203,"4x4",NA,NA,NA,"4.7 203KM 149kW 1966-1968",4.7,22,"manualna","1966","1968"
"Ford","Bronco","I",NA,"benzynowy",208,"4x4",NA,NA,NA,"4.9 208KM 153kW 1969-1977",4.9,23,"manualna","1969","1977"
"Ford","Capri","EV",NA,"elektryczny",170,"na tylną oś",NA,NA,NA,"52kWh 170KM 125kW od 2024",NA,15,"automatyczna","2024","2025"
"Ford","Capri","EV",NA,"elektryczny",286,"na tylną oś",NA,NA,NA,"77kWh 286KM 210kW od 2024",NA,16.6,"bezstopniowa","2024","2025"
"Ford","Capri","EV",NA,"elektryczny",340,"4x4",NA,NA,NA,"79kWh 340KM 250kW od 2024",NA,16,"automatyczna","2024","2025"
"Ford","Capri","III",NA,"benzynowy",54,NA,NA,NA,NA,"1.3 54KM 40kW 1978-1985",1.3,NA,NA,"1978","1985"
"Ford","Capri","III",NA,"benzynowy",73,"na tylną oś",NA,NA,NA,"1.6 73KM 54kW 1978-1987",1.6,NA,"manualna","1978","1987"
"Ford","Capri","III",NA,"benzynowy",101,"na tylną oś",NA,NA,NA,"2.0 101KM 74kW 1978-1985",2,9.2,"manualna","1978","1985"
"Ford","Capri","III",NA,"benzynowy",90,"na tylną oś",NA,NA,NA,"2.0 V6 90KM 66kW 1978-1977",2,10.2,"manualna","1978","1977"
"Ford","Capri","III",NA,"benzynowy",114,"na tylną oś",NA,NA,NA,"2.3 Super 114KM 84kW 1979-1985",2.3,9.8,"manualna","1979","1985"
"Ford","Capri","III",NA,"benzynowy",160,"na tylną oś",NA,NA,NA,"2.8 Super Injection 160KM 118kW 1981-1985",2.8,11.1,"manualna","1981","1985"
