"Marka","Model","Generacja","Wersja","TypSilnika","MocSilnika","RodzajNapedu","Cena2023","Cena2022","Cena2021","Silnik","PojemnoscSilnika","SrednieSpalanieZuzycie","RodzajSkrzyni","RokRozpoczeciaProdukcji","RokZakonczeniaProdukcji"
"Opel","Astra","L","Hatchback Electric","elektryczny",156,"na przednią oś",97999,91999,94999,"e156 156KM 115kW od 2024",NA,16.2,"bezstopniowa",2024,2025
"Opel","Astra","L","Sports Tourer Electric","elektryczny",156,"na przednią oś",97999,91999,94999,"e156 156KM 115kW od 2024",NA,16.2,"bezstopniowa",2024,2025
"Opel","Astra","L","Sports Tourer","benzynowy",110,"na przednią oś",97999,91999,94999,"1.2 Turbo 110KM 81kW od 2022",1.2,5.7,"manualna",2022,2025
"Opel","Astra","L","Sports Tourer","benzynowy",130,"na przednią oś",97999,91999,94999,"1.2 Turbo 130KM 96kW od 2022",1.2,5.8,"manualna",2022,2025
"Opel","Astra","L","Sports Tourer","diesel",130,"na przednią oś",97999,91999,94999,"1.5 Diesel 130KM 96kW od 2022",1.5,4.6,"manualna",2022,2025
"Opel","Astra","L","Sports Tourer Plug-In","hybrydowy plug-in",180,"na przednią oś",97999,91999,94999,"1.6 Turbo Plug-In Hybrid 180KM 132kW od 2022",1.6,1.2,"automatyczna",2022,2025
"Opel","Astra","L","Sports Tourer Plug-In","hybrydowy plug-in",225,"na przednią oś",97999,91999,94999,"1.6 Turbo Plug-In Hybrid 225KM 165kW od 2023",1.6,1.2,"automatyczna",2023,2025
"Opel","Astra","L","Hatchback","benzynowy",110,"na przednią oś",97999,91999,94999,"1.2 Turbo 110KM 81kW od 2021",1.2,5.5,"manualna",2021,2025
"Opel","Astra","L","Hatchback","benzynowy",130,"na przednią oś",97999,91999,94999,"1.2 Turbo 130KM 96kW od 2021",1.2,5.7,"manualna",2021,2025
"Opel","Astra","L","Hatchback","diesel",130,"na przednią oś",97999,91999,94999,"1.5 Diesel 130KM 96kW od 2021",1.5,4.5,"manualna",2021,2025
"Opel","Astra","L","Hatchback Plug-In","hybrydowy plug-in",180,"na przednią oś",97999,91999,94999,"1.6 Turbo Plug-In Hybrid 180KM 132kW od 2021",1.6,1.1,"automatyczna",2021,2025
"Opel","Astra","L","Hatchback Plug-In","hybrydowy plug-in",225,"na przednią oś",97999,91999,94999,"1.6 Turbo Plug-In Hybrid 225KM 165kW od 2023",1.6,1.1,"automatyczna",2023,2025
"Opel","Astra","K","Hatchback Facelifting","benzynowy",110,"na przednią oś",97999,91999,94999,"1.2 Turbo 110KM 81kW 2019-2021",1.2,5.5,"manualna",2019,2021
"Opel","Astra","K","Hatchback Facelifting","benzynowy",130,"na przednią oś",97999,91999,94999,"1.2 Turbo 130KM 96kW 2019-2021",1.2,5.5,"manualna",2019,2021
"Opel","Astra","K","Hatchback Facelifting","benzynowy",145,"na przednią oś",97999,91999,94999,"1.2 Turbo 145KM 107kW 2019-2021",1.2,5.5,"manualna",2019,2021
"Opel","Astra","K","Hatchback Facelifting","benzynowy",145,"na przednią oś",97999,91999,94999,"1.4 Turbo 145KM 107kW 2019-2021",1.4,6.1,"automatyczna",2019,2021
"Opel","Astra","K","Hatchback Facelifting","diesel",105,"na przednią oś",97999,91999,94999,"1.5 Diesel 105KM 77kW 2019-2021",1.5,4.7,"manualna",2019,2021
"Opel","Astra","K","Hatchback Facelifting","diesel",122,"na przednią oś",97999,91999,94999,"1.5 Diesel 122KM 90kW 2019-2021",1.5,4.8,"manualna",2019,2021
"Opel","Astra","K","Sportstourer Facelifting","benzynowy",110,"na przednią oś",97999,91999,94999,"1.2 Turbo 110KM 81kW 2019-2022",1.2,5.6,"manualna",2019,2022
"Opel","Astra","K","Sportstourer Facelifting","benzynowy",130,"na przednią oś",97999,91999,94999,"1.2 Turbo 130KM 96kW 2019-2022",1.2,5.6,"manualna",2019,2022
"Opel","Astra","K","Sportstourer Facelifting","benzynowy",145,"na przednią oś",97999,91999,94999,"1.2 Turbo 145KM 107kW 2019-2022",1.2,5.6,"manualna",2019,2022
"Opel","Astra","K","Sportstourer Facelifting","benzynowy",145,"na przednią oś",97999,91999,94999,"1.4 Turbo 145KM 107kW 2019-2022",1.4,6.2,"zautomatyzowana",2019,2022
"Opel","Astra","K","Sportstourer Facelifting","diesel",105,"na przednią oś",97999,91999,94999,"1.5 Diesel 105KM 77kW 2019-2022",1.5,4.8,"manualna",2019,2022
"Opel","Astra","K","Sportstourer Facelifting","diesel",122,"na przednią oś",97999,91999,94999,"1.5 Diesel 122KM 90kW 2019-2022",1.5,4.8,"manualna",2019,2022
"Opel","Astra","K","GTC","benzynowy",120,"na przednią oś",97999,91999,94999,"1.4 Turbo 120KM 88kW 2016-2018",1.4,6.2,"manualna",2016,2018
"Opel","Astra","K","GTC","benzynowy",140,"na przednią oś",97999,91999,94999,"1.4 Turbo 140KM 103kW 2016-2018",1.4,6.2,"manualna",2016,2018
"Opel","Astra","K","GTC","benzynowy",170,"na przednią oś",97999,91999,94999,"1.6 Turbo 170KM 125kW 2016-2018",1.6,6.9,"automatyczna",2016,2018
"Opel","Astra","K","GTC","benzynowy",200,"na przednią oś",97999,91999,94999,"1.6 Turbo 200KM 147kW 2016-2018",1.6,6.2,"manualna",2016,2018
"Opel","Astra","K","GTC","benzynowy",280,"na przednią oś",97999,91999,94999,"2.0 Turbo Ecotec 280KM 206kW 2016-2018",2,8.1,"manualna",2016,2018
"Opel","Astra","K","GTC","diesel",110,"na przednią oś",97999,91999,94999,"1.6 CDTI 110KM 81kW 2016-2018",1.6,3.9,"manualna",2016,2018
"Opel","Astra","K","GTC","diesel",136,"na przednią oś",97999,91999,94999,"1.6 CDTI 136KM 100kW 2016-2018",1.6,4.1,"manualna",2016,2018
"Opel","Astra","K","Sports Tourer","benzynowy",105,"na przednią oś",97999,91999,94999,"1.0 Turbo 105KM 77kW 2016-2019",1,4.5,"manualna",2016,2019
"Opel","Astra","K","Sports Tourer","benzynowy",125,"na przednią oś",97999,91999,94999,"1.4 Turbo 125KM 92kW 2016-2019",1.4,5.6,"manualna",2016,2019
"Opel","Astra","K","Sports Tourer","benzynowy",150,"na przednią oś",97999,91999,94999,"1.4 Turbo 150KM 110kW 2016-2019",1.4,5.6,"manualna",2016,2019
"Opel","Astra","K","Sports Tourer","benzynowy",100,"na przednią oś",97999,91999,94999,"1.4 Twinport 100KM 74kW 2016-2018",1.4,5.7,"manualna",2016,2018
"Opel","Astra","K","Sports Tourer","benzynowy",200,"na przednią oś",97999,91999,94999,"1.6 Turbo 200KM 147kW 2016-2019",1.6,6.2,"manualna",2016,2019
"Opel","Astra","K","Sports Tourer","benzynowy z lpg",110,"na przednią oś",97999,91999,94999,"1.4 Turbo CNG 110KM 81kW 2017-2019",1.4,6.5,"manualna",2017,2019
"Opel","Astra","K","Sports Tourer","diesel",95,"na przednią oś",97999,91999,94999,"1.6 CDTI 95KM 70kW 2016-2019",1.6,3.8,"manualna",2016,2019
"Opel","Astra","K","Sports Tourer","diesel",110,"na przednią oś",97999,91999,94999,"1.6 CDTI 110KM 81kW 2016-2019",1.6,3.8,"manualna",2016,2019
"Opel","Astra","K","Sports Tourer","diesel",136,"na przednią oś",97999,91999,94999,"1.6 CDTI 136KM 100kW 2016-2019",1.6,3.9,"manualna",2016,2019
"Opel","Astra","K","Sports Tourer","diesel",160,"na przednią oś",97999,91999,94999,"1.6 CDTI 160KM 118kW 2016-2018",1.6,4.2,"manualna",2016,2018
"Opel","Astra","K","Sports Tourer","diesel",150,"na przednią oś",97999,91999,94999,"1.6 CDTi 150KM 110kW 2018-2019",1.6,4.2,"manualna",2018,2019
"Opel","Astra","K","Hatchback 5d","benzynowy",105,"na przednią oś",97999,91999,94999,"1.0 Turbo 105KM 77kW 2015-2019",1,4.3,"manualna",2015,2019
"Opel","Astra","K","Hatchback 5d","benzynowy",125,"na przednią oś",97999,91999,94999,"1.4 Turbo 125KM 92kW 2015-2019",1.4,5.5,"manualna",2015,2019
"Opel","Astra","K","Hatchback 5d","benzynowy",150,"na przednią oś",97999,91999,94999,"1.4 Turbo 150KM 110kW 2015-2019",1.4,5.5,"manualna",2015,2019
"Opel","Astra","K","Hatchback 5d","benzynowy",100,"na przednią oś",97999,91999,94999,"1.4 Twinport 100KM 74kW 2015-2018",1.4,5.5,"manualna",2015,2018
