"Marka","Model","Generacja","Wersja","TypSilnika","MocSilnika","SrednieSpalanieZuzycie","Cena2023","Cena2022","Cena2021","RodzajSkrzyni","RodzajNapedu","Silnik","PojemnoscSilnika","RokRozpoczeciaProdukcji","RokZakonczeniaProdukcji"
"Toyota","Aygo X","","","benzynowy",72,4.7,33900,68900,59500,"manualna","na przednią oś","1.1 VVT-i 72KM 53kW od 2022",1.1,"2022","2025"
"Toyota","bZ4X","","","elektryczny",204,14.5,NA,NA,NA,"automatyczna","na przednią oś","71.4kWh 204KM 150kW od 2022",NA,"2022","2025"
"Toyota","bZ4X","","","elektryczny",217,15.5,NA,NA,NA,"automatyczna","4x4","71.4kWh 217KM 160kW od 2022",NA,"2022","2025"
"Toyota","C-HR","II","SUV","hybrydowy",140,5,187900,139850,105450,"bezstopniowa","na przednią oś","1.8 Hybrid 140KM 103kW od 2023",1.8,"2023","2025"
"Toyota","C-HR","II","SUV","hybrydowy",197,5,187900,139850,105450,"bezstopniowa","na przednią oś","2.0 Hybrid Dynamic Force 197KM 145kW od 2023",2,"2023","2025"
"Toyota","C-HR","II","SUV Plug-In","hybrydowy plug-in",223,0.9,187900,139850,105450,"bezstopniowa","na przednią oś","2.0 223KM 164kW od 2023",2,"2023","2025"
"Toyota","C-HR","I","Crossover Facelifting","benzynowy",116,6,187900,139850,105450,"manualna","na przednią oś","1.2 Turbo 116KM 85kW 2019-2023",1.2,"2019","2023"
"Toyota","C-HR","I","Crossover Facelifting","hybrydowy",122,3.7,187900,139850,105450,"automatyczna","na przednią oś","1.8 Hybrid 122KM 90kW 2019-2023",1.8,"2019","2023"
"Toyota","C-HR","I","Crossover Facelifting","hybrydowy",184,5,187900,139850,105450,"automatyczna","na przednią oś","2.0 Hybrid Dynamic Force 184KM 135kW 2019-2023",2,"2019","2023"
"Toyota","C-HR","I","Crossover","benzynowy",116,6,187900,139850,105450,"manualna","na przednią oś","1.2L Turbo 116KM 85kW 2016-2019",1.2,"2016","2019"
"Toyota","C-HR","I","Crossover","hybrydowy",122,3.8,187900,139850,105450,"automatyczna","na przednią oś","1.8 Hybrid 122KM 90kW 2016-2019",1.8,"2016","2019"
"Toyota","Camry","IX","Sedan Facelifting","hybrydowy",218,4.3,109000,99000,105000,"automatyczna","na przednią oś","2.5 Hybrid Dynamic Force 218KM 160kW od 2024",2.5,"2024","2025"
"Toyota","Camry","IX","Sedan","hybrydowy",218,4.3,109000,99000,105000,"automatyczna","na przednią oś","2.5 Hybrid Dynamic Force 218KM 160kW 2018-2024",2.5,"2018","2024"
"Toyota","Camry","VIII","","benzynowy",178,7.8,109000,99000,105000,"automatyczna","na przednią oś","2.5 VVT-i 178KM 131kW 2016-2018",2.5,"2016","2018"
"Toyota","Camry","VIII","","benzynowy",268,9.3,109000,99000,105000,"automatyczna","na przednią oś","3.5 V6 VVT-i 268KM 197kW 2016-2018",3.5,"2016","2018"
"Toyota","Camry","VIII","","hybrydowy",200,7.1,109000,99000,105000,"zautomatyzowana","na przednią oś","2.5 VVT-i EV 200KM 147kW 2016-2018",2.5,"2016","2018"
"Toyota","Camry","VII","","benzynowy",150,7.2,109000,99000,105000,"automatyczna","na przednią oś","2.0 VVT-iW 150KM 110kW 2014-2016",2,"2014","2016"
"Toyota","Camry","VII","","benzynowy",181,7.8,109000,99000,105000,"automatyczna","na przednią oś","2.5 VVT-i 181KM 133kW 2014-2016",2.5,"2014","2016"
